activity_id,hr_avg,hr_min,hr_max,hr_median,first_half_avg,second_half_avg,cardiac_drift,pct_over_150,pct_over_160,pct_over_170
12909550939,146.7,103,166,144,140.0,153.5,13.5,33.2,19.6,0.0
12887276673,109.2,74,143,108,107.9,110.5,2.5,0.0,0.0,0.0
12879345590,128.2,108,147,128,127.7,128.6,0.8,0.0,0.0,0.0
12876357056,114.6,85,140,114,109.7,119.5,9.7,0.0,0.0,0.0
12871530299,126.4,99,149,126,125.7,127.1,1.3,0.0,0.0,0.0
12861286797,149.9,104,164,150,151.5,149.3,-2.2,47.4,9.6,0.0
12847879464,101.0,71,134,101,95.0,107.1,12.1,0.0,0.0,0.0
12840675929,138.6,105,150,142,137.0,140.3,3.3,0.0,0.0,0.0
12844444361,101.0,91,109,101,99.2,101.2,2.0,0.0,0.0,0.0
12832515848,119.3,98,142,118,118.9,119.7,0.7,0.0,0.0,0.0
12824433237,135.6,100,144,137,133.1,138.2,5.1,0.0,0.0,0.0
12824255186,111.6,89,139,111,109.5,113.6,4.1,0.0,0.0,0.0
12814801230,142.4,108,154,142,142.0,142.7,0.7,1.0,0.0,0.0
12792852970,148.4,96,160,153,141.9,154.8,12.9,57.9,0.0,0.0
12786000000,143.8,106,154,146,138.0,149.6,11.6,14.6,0.0,0.0
12776565768,110.6,85,139,111,108.8,112.5,3.7,0.0,0.0,0.0
12768856049,134.5,92,148,135,136.1,132.8,-3.3,0.0,0.0,0.0
12710164387,108.8,78,135,109,106.2,111.3,5.1,0.0,0.0,0.0
12692429720,134.7,108,156,136,128.5,140.9,12.4,3.8,0.0,0.0
12692429685,122.2,101,150,121,121.2,123.3,2.1,0.0,0.0,0.0
12681480608,145.1,98,159,147,139.4,150.8,11.4,29.4,0.0,0.0
12680100826,111.9,75,137,113,106.8,117.0,10.2,0.0,0.0,0.0
12661470009,147.7,100,160,149,146.3,149.1,2.8,34.7,0.0,0.0
12661469818,120.4,96,155,119,119.0,121.7,2.7,1.8,0.0,0.0
12640473673,148.2,89,162,149,147.6,148.9,1.4,24.8,0.4,0.0
12630208768,113.8,73,143,115,112.4,115.3,2.8,0.0,0.0,0.0
12855464592,100.7,81,113,103,100.3,100.7,0.4,0.0,0.0,0.0
12625969203,144.2,103,154,145,141.5,146.8,5.3,9.9,0.0,0.0
12625969149,116.0,88,140,115,112.0,119.9,7.9,0.0,0.0,0.0
12615506121,111.4,83,145,110,111.7,111.1,-0.6,0.0,0.0,0.0
12594402890,145.6,128,161,146,145.2,146.0,0.8,19.0,0.2,0.0
12584654402,150.1,91,168,153,147.2,153.2,6.0,60.9,6.5,0.0
12580807481,116.6,86,149,116,114.3,118.9,4.7,0.0,0.0,0.0
12571954762,116.7,87,150,117,110.6,122.9,12.2,0.0,0.0,0.0
12571954816,106.5,79,121,109,105.4,106.9,1.5,0.0,0.0,0.0
12542508720,107.8,85,137,109,105.9,109.7,3.7,0.0,0.0,0.0
12502277432,108.0,87,136,108,105.6,110.4,4.8,0.0,0.0,0.0
12496581967,146.0,81,162,146,147.4,144.6,-2.8,28.7,1.7,0.0
12488069569,95.5,85,110,95,96.8,94.2,-2.6,0.0,0.0,0.0
12488684223,135.7,105,156,137,131.6,139.9,8.3,3.7,0.0,0.0
12485802044,113.3,87,155,112,112.3,114.3,1.9,1.6,0.0,0.0
12484582480,111.0,87,134,112,109.1,112.8,3.6,0.0,0.0,0.0
12471667558,125.3,89,158,128,126.6,124.0,-2.7,3.6,0.0,0.0
12468904947,157.2,121,169,159,155.2,159.2,4.0,90.6,36.0,0.0
12468904962,147.9,126,158,148,146.2,149.5,3.3,35.9,0.0,0.0
12468904693,127.2,107,142,127,125.7,128.6,2.9,0.0,0.0,0.0
12468904689,115.3,76,149,114,111.7,118.9,7.2,0.0,0.0,0.0
12451871165,144.7,110,157,147,139.0,150.4,11.4,21.9,0.0,0.0
12451871156,111.5,76,134,113,107.0,115.9,8.8,0.0,0.0,0.0
12402102195,121.2,91,151,121,121.8,120.6,-1.2,0.2,0.0,0.0
12396453568,146.6,113,160,149,139.8,153.3,13.5,45.6,0.0,0.0
12396453488,115.8,92,141,115,114.5,117.0,2.4,0.0,0.0,0.0
12353529018,140.4,89,157,141,141.2,139.5,-1.7,1.9,0.0,0.0
12353528580,107.4,73,133,109,102.0,112.8,10.7,0.0,0.0,0.0
12349500193,126.3,109,151,126,126.6,125.9,-0.6,0.2,0.0,0.0
12349500198,126.2,105,152,125,127.1,125.3,-1.8,0.3,0.0,0.0
12328849957,147.2,96,160,150,145.3,149.0,3.7,42.6,0.0,0.0
12328849847,114.9,90,149,113,115.7,114.1,-1.7,0.0,0.0,0.0
12309397056,127.8,114,145,125,135.3,120.4,-14.9,0.0,0.0,0.0
12308313759,117.9,79,158,117,117.9,117.9,-0.1,0.4,0.0,0.0
